Epoch,Validation Accuracy
1,34.55
2,43.75
3,39.0
4,48.65
5,46.4
6,48.2
7,49.2
8,52.9
9,53.95
10,51.9
11,53.4
12,49.55
13,55.15
14,55.8
15,55.75
16,54.9
17,55.0
18,55.35
19,55.9
20,55.6
21,56.05
22,55.9
23,56.0
24,55.65
25,55.95
26,55.8
27,55.85
28,55.6
29,55.75
30,56.05
31,56.25
32,55.6
33,55.6
34,55.4
35,55.65
36,55.7
37,55.3
38,55.7
39,55.35
40,55.7
41,56.25
42,55.65
43,55.4
44,55.65
45,56.05
46,55.9
47,55.85
48,55.65
49,56.0
50,55.8
