epoch,G_grad_norm,S_grad_norm,grad_wrt_X
1,7.880551,0.133875,0.002687
2,8.378733,0.008702,0.002785
3,8.325784,0.006891,0.002976
4,7.327866,0.007209,0.002989
5,7.384757,0.005728,0.002924
6,7.664841,0.005917,0.002880
7,7.324370,0.007286,0.002876
8,7.711013,0.011953,0.002885
9,7.293285,0.020870,0.002993
10,8.145508,0.030153,0.002936
11,7.144736,0.045100,0.002896
12,8.539053,0.065490,0.002906
