epoch,loss_G,loss_S
1,-1.550792,1.425407
2,-1.309241,1.291499
3,-1.291007,1.270169
4,-1.279091,1.280125
5,-1.301299,1.305698
6,-1.337692,1.317832
7,-1.302604,1.304553
8,-1.296126,1.286255
9,-1.300243,1.288413
10,-1.295160,1.266905
11,-1.280108,1.232705
12,-1.246734,1.293937
