epoch,G_grad_norm,S_grad_norm,grad_wrt_X
1,8.542327,0.138219,0.002902
2,9.123107,0.060469,0.003211
3,9.087442,0.095729,0.003144
4,6.662601,0.091025,0.002675
5,7.306970,0.093664,0.002537
6,6.885705,0.086855,0.002486
7,6.473403,0.099100,0.002430
8,6.528221,0.104241,0.002401
9,6.464573,0.107765,0.002401
10,6.273835,0.106293,0.002345
11,6.686664,0.107437,0.002330
12,6.136909,0.112572,0.002328
