epoch,loss_G,loss_S
1,-1.491468,1.508018
2,-1.273044,1.187338
3,-0.966001,0.879513
4,-0.831740,0.756555
5,-0.693660,0.703450
6,-0.663016,0.633987
7,-0.549451,0.566964
8,-0.538117,0.539369
9,-0.507688,0.497308
10,-0.489479,0.483305
11,-0.479596,0.484252
12,-0.458695,0.482423
